Food Name,Category,Calories,Carbs,Fats,Protein,Fiber,GI,GL,Insulin Index,Magnesium,Potassium,Sodium,Calcium,Iron,Vitamin D,Vitamin C,Folate,Vegan/Vegetarian,Processed Level,recommendation,prepration_method,portion_guidance
Samosa,Snack,300,30,18,6,3,60,18,65,25,150,400,20,1.5,0,0,20,Vegetarian,Highly Processed,"avoid , minimal_consumption",deep_fried,small_portion
Pakora,Snack,280,25,18,5,3,40,10,50,20,150,400,30,1,0,5,30,Vegan,Highly Processed,"avoid , minimal_consumption",deep_fried,small_portion
Misal Pav,Breakfast,180,25,6,8,5,55,13.8,50,40,250,600,80,2.5,0,5,60,Vegetarian,Highly Processed,occasional_consumption,deep_fried,moderate_portion
Vada Pav,Snack,280,35,10,6,3,65,22.8,70,30,200,500,50,1.5,0,2,30,Vegetarian,Highly Processed,"avoid , minimal_consumption",deep_fried,small_portion
Dhokla,Snack,120,20,2,5,3,40,8,35,30,100,300,40,1.2,0,0,50,Vegan,Minimally Processed,ideal_diabetic_food,"steamed , fermented",moderate_portion
Khaman,Snack,120,18,2,5,3,40,7.2,35,30,100,300,40,1.2,0,0,50,Vegan,minimally processed,ideal_diabetic_food,"steamed , fermented",moderate_portion
Thepla,Breakfast,300,40,10,7,4,50,20,45,40,150,400,60,2,0,2,40,Non-Vegetarian,Highly Processed,suitable_for_controlled_diabetes,stir_fried,moderate_portion
Undhiyu,Dinner,180,20,8,5,5,35,7,40,35,250,300,60,2.5,0,10,80,Vegan,minimally processed,ideal_diabetic_food,steamed,moderate_portion
Pav Bhaji,Lunch,220,30,10,5,4,65,19.5,60,30,200,500,40,1.8,0,5,50,Vegan/Vegetarian,Highly Processed,occasional_consumption,stir_fried,moderate_portion
Biryani,Lunch,220,30,8,6,2,60,18,65,25,150,400,30,1,0,1,20,Vegetarian,minimally processed,occasional_consumption,steamed,small_portion
Dal Tadka,Dinner,120,15,5,7,5,40,6,50,40,200,300,50,1.5,0,2,80,Vegan,minimally processed,ideal_diabetic_food,boiled,regular_portion
Roti,Breakfast,297,46,6,10,7,62,28.5,70,50,150,200,20,2.5,0,0,25,Vegan,minimally processed,suitable_for_controlled_diabetes,roasted,moderate_portion
Bhindi Masala,Dinner,90,10,4,3,4,20,2,30,40,250,150,80,1.5,0,15,60,Vegan,minimally processed,ideal_diabetic_food,stir_fried,regular_portion
Aloo Gobi,Dinner,120,15,5,3,3,45,6.8,40,20,250,300,30,1,0,20,40,Vegan,minimally processed,suitable_for_controlled_diabetes,stir_fried,moderate_portion
Matar Paneer,anytime,180,10,10,10,3,35,3.5,50,30,200,400,150,1.5,0.1,5,50,Vegetarian,minimally processed,suitable_for_controlled_diabetes,stir_fried,regular_portion
Chicken Curry,Dinner,220,3,15,20,1,0,0,50,25,250,400,20,1.5,0.5,1,10,Non-Vegetarian,Minimally Processed,suitable_for_controlled_diabetes,boiled,moderate_portion
Fish Curry,Dinner,135,4.5,9.5,10.5,1.5,35,1.6,45,20,200,350,30,1,2,8,15,Non-Vegetarian,minimally processed,ideal_diabetic_food,boiled,moderate_portion
Egg Bhurji,Breakfast,180,3,12,14,0.5,0,0,40,12,150,300,60,1.8,1.1,0,24,Non-Vegetarian,minimally processed,suitable_for_controlled_diabetes,stir_fried,regular_portion
Butter Chicken,Dinner,220,8,15,12,1.5,45,3.6,60,25,200,350,50,1.2,0.5,2,10,Non-Vegetarian,Processed,occasional_consumption,stir_fried,small_portion
Keema,Dinner,220,5,15,18,2,35,1.8,55,25,300,400,30,2.5,0.1,3,20,Non-Vegetarian,minimally processed,occasional_consumption,stir_fried,small_portion
Mutton Curry,Dinner,280,6,20,22,1.5,40,2.4,50,25,300,350,40,3,0.5,5,15,Non-Vegetarian,minimally processed,occasional_consumption,boiled,small_portion
Pongal,Breakfast,150,20,5,4,2,70,14,65,30,150,200,20,1,0,0,25,Vegetarian,minimally processed,ideal_diabetic_food,boiled,moderate_portion
Sambar,Lunch,90,10,3,5,3,40,4,50,30,150,300,30,1.5,0,5,30,Vegetarian,minimally processed,ideal_diabetic_food,boiled,regular_portion
Rasam,Lunch,60,9.5,1.2,3.5,1.8,70,6.7,45,12,180,400,30,0.8,0,12,25,Vegetarian,Minimally Processed,ideal_diabetic_food,boiled,regular_portion
Thalipeeth,Breakfast,280,45,8,12,5,70,31.5,58.4,50,300,200,150,3.5,0,2,40,Vegetarian,minimally processed,suitable_for_controlled_diabetes,roasted,moderate_portion
Handvo,Snack,180,20,8,10,6,55,11,35,60,250,300,100,2.5,0,1,80,Vegetarian,minimally processed,ideal_diabetic_food,"steamed , fermented",moderate_portion
Modak,Dessert,150,30,5,2,2,66,19.8,40,25,50,100,20,0.8,0,0,5,Vegetarian,minimally processed,"avoid , minimal_consumption",steamed,small_portion
Gulab Jamun,Dessert,320,50,12,5,0,65,32.5,60,20,100,300,50,1.2,0,0,5,Vegetarian,Highly Processed,"avoid , minimal_consumption",deep_fried,very_small_portion
Jalebi,Dessert,350,85,5,3,1,75,63.8,70,10,50,200,10,0.5,0,0,0,Vegetarian,Highly Processed,"avoid , minimal_consumption",deep_fried,very_small_portion
Rasgulla,Dessert,186,35,2,6,0,63,22.1,60,15,80,250,50,1.5,0,0,5,Vegetarian,Highly Processed,occasional_consumption,boiled,small_portion
Sandesh,Dessert,220,15,12,15,0,35,5.3,40,30,150,200,200,1.5,0,0,10,Vegetarian,Highly Processed,occasional_consumption,steamed,small_portion
Kheer,Dessert,150,20,5,4,1,60,12,40,20,100,150,100,0.8,0,0,5,Vegetarian,Processed,"avoid , minimal_consumption",boiled,small_portion
Seviyan,Dessert,180,25,7,4,1,65,16.3,45,15,80,120,80,0.5,0,0,5,Vegetarian,Processed,occasional_consumption,stir_fried,small_portion
Halwa,Dessert,300,40,12,5,3,60,24,50,30,150,200,50,1.2,0,0,1,Vegetarian,Processed,"avoid , minimal_consumption",stir_fried,very_small_portion
Lassi,Beverage,60,8,2,3,0,40,3.2,30,10,80,100,80,0.2,0,0,5,Vegetarian,Minimally Processed,occasional_consumption,blended,small_portion
Masala Chai,Beverage,30,5,1,1,0,35,1.8,20,5,50,40,20,0.1,0,0,0,Vegetarian,minimally processed,occasional_consumption,boiled,small_portion
Buttermilk,Beverage,25,3,1,2,0,15,0.5,10,5,50,40,80,0.1,0,0,0,Vegetarian,minimally processed,ideal_diabetic_food,blended,regular_portion
Aam Panna,Beverage,50,12,0.2,0.5,1,40,4.8,20,10,120,15,10,0.3,12,0,8,Vegan,minimally processed,suitable_for_controlled_diabetes,blended,regular_portion
Nimbu Pani,Beverage,25,6.1,0.1,0.5,0.2,40,2.4,15,6,80,2,10,0,23,8,1,Vegan,Minimally Processed,ideal_diabetic_food,blended,regular_portion
Badam Milk,Beverage,120,15,5,4,1,45,6.8,35,25,180,150,120,0.5,1.2,0,10,Vegetarian,Minimally Processed,ideal_diabetic_food,blended,small_portion
Soy Milk,Beverage,54,3.3,1.8,3.3,0.6,30,1,25,15,120,50,25,0.6,0.5,0,20,Vegan,Processed,ideal_diabetic_food,blended,moderate_portion
Chaas,Beverage,35,3,1.5,2,0,15,0.5,20,10,120,60,80,0.1,0,1,5,Vegetarian,Minimally Processed,ideal_diabetic_food,blended,regular_portion
Sprouts Salad,Snack,65,10,1,6,4,15,1.5,30,35,250,10,30,1.5,0,15,80,Vegan,Minimally Processed,ideal_diabetic_food,raw,regular_portion
Cucumber Raita,Side Dish,65,3.5,4,2.5,0.5,15,0.5,25,8,100,40,80,0.2,0,2,10,Vegetarian,minimally processed,ideal_diabetic_food,blended,regular_portion
Curd Rice,Lunch,150,25,4.5,4,1.2,60,15,45,20,120,80,120,0.4,0.1,1.5,20,Vegetarian,minimally processed,suitable_for_controlled_diabetes,boiled,moderate_portion
Pulao,Lunch,140,25,3.5,3,1.5,60,15,40,15,80,200,20,0.5,0,2,10,Vegetarian,Minimally Processed,occasional_consumption,steamed,small_portion
Vegetable Soup,Soup,35,5,0.5,1.5,1.8,30,1.5,20,10,150,250,20,0.4,0,8,15,Vegan,minimally processed,ideal_diabetic_food,boiled,regular_portion
Methi Thepla,Breakfast,280,35,10,8,4.5,40,14,35,50,200,300,80,3,0,15,40,Vegetarian,minimally processed,suitable_for_controlled_diabetes,stir_fried,moderate_portion
Kadhi,Lunch,90,10,3.5,4,1.5,35,3.5,25,20,150,300,100,1,0,2,25,Vegetarian,minimally processed,ideal_diabetic_food,stir_fried,moderate_portion
Dal Makhni,Dinner,180,20,8,8,6,30,6,40,50,300,400,80,2.5,0,2,80,Vegetarian,minimally processed,occasional_consumption,stir_fried,small_portion
Paneer Tikka,Appetizer,220,8,15,12,2,15,1.2,30,30,200,400,200,0.8,0,5,15,Vegetarian,minimally processed,suitable_for_controlled_diabetes,roasted,moderate_portion
Shahi Paneer,Dinner,250,10,18,12,2,20,2,40,30,200,300,250,1.5,0,5,25,Vegetarian,minimally processed,occasional_consumption,stir_fried,small_portion
Vegetable Biryani,Lunch,180,30,5,4,3,50,15,35,25,150,300,50,1.2,0,10,40,Vegetarian,minimally processed,occasional_consumption,steamed,small_portion
Soya Chaap,Dinner,220,8,12,20,4,25,2,30,60,300,400,150,3.5,0,0,50,Vegan,Highly Processed,,,
Aloo Tikki,Snack,150,20,6,3,2.5,40,8,30,20,300,200,30,0.8,0,5,25,Vegetarian,Processed,occasional_consumption,deep_fried,small_portion
Pani Puri,Snack,120,25,2,2,1.5,35,8.8,25,15,80,300,20,0.5,0,10,30,Vegetarian,minimally processed,"avoid , minimal_consumption",deep_fried,very_small_portion
Bhel Puri,Snack,180,30,5,4,3,40,12,30,25,150,200,50,1,0,8,40,Vegan,Processed,occasional_consumption,deep_fried,small_portion
Sev Puri,Snack,200,25,8,4,2,45,11.3,35,20,150,300,40,1,0,5,30,Vegetarian,Processed,"avoid , minimal_consumption",deep_fried,very_small_portion
Dahi Puri,Snack,150,20,5,4,2,35,7,30,15,120,250,100,0.5,0,2,20,Vegetarian,Processed,occasional_consumption,deep_fried,small_portion
Chana Chaat,Snack,120,20,2,5,4,25,5,20,30,200,150,50,1.5,0,10,40,Vegan,Minimally Processed,suitable_for_controlled_diabetes,raw,moderate_portion
Fruit Salad,Snack,60,15,0.3,0.8,2,40,6,20,10,200,5,10,0.3,0,30,15,Vegan,Unprocessed,suitable_for_controlled_diabetes,raw,moderate_portion
Moong Dal Chilla,Breakfast,150,15,5,10,3,30,4.5,25,40,250,50,50,1.5,0,2,40,Vegan,minimally processed,ideal_diabetic_food,stir_fried,moderate_portion
Besan Chilla,Breakfast,180,20,7,10,3,25,5,30,50,300,100,30,2,0,1,50,Vegan,minimally processed,suitable_for_controlled_diabetes,stir_fried,moderate_portion
Ragi Dosa,Breakfast,120,25,1,3,4,35,8.8,25,50,200,20,50,3,0,0,20,Vegan,minimally processed,ideal_diabetic_food,"stir_fried, fermented",regular_portion
Jowar Roti,Breakfast,120,25,1,3.5,2,40,10,25,40,150,10,10,1.5,0,0,10,Vegan,Processed,ideal_diabetic_food,roasted,regular_portion
Bajra Roti,Breakfast,130,25,1.5,4,3,35,8.8,25,50,150,10,15,2,0,0,15,Vegan,minimally processed,suitable_for_controlled_diabetes,stir_fried,regular_portion
Chia Pudding,Snack,120,10,6,4,8,30,3,25,50,150,10,150,2,0,0,20,Vegan,Minimally Processed,ideal_diabetic_food,boiled,regular_portion
Flaxseed Roti,Breakfast,180,25,6,6,8,35,8.8,30,60,200,10,50,2.5,0,0,15,Vegan,minimally processed,ideal_diabetic_food,roasted,moderate_portion
Makhana,Snack,350,70,2,10,5,25,17.5,30,60,500,50,60,1.5,0,0,20,Vegan,minimally processed,ideal_diabetic_food,roasted,regular_portion
Peanut Chikki,Snack,500,40,30,15,5,55,22,40,100,400,50,50,2,0,0,50,Vegan,minimally processed,occasional_consumption,roasted,small_portion
Til Laddu,Dessert,550,35,40,15,10,45,15.8,35,350,400,20,1000,10,0,0,50,Vegan,minimally processed,occasional_consumption,roasted,moderate_portion
Dry Fruit Laddu,Beverage,450,50,25,10,6,40,20,35,80,500,50,100,3,0,2,40,Vegetarian,minimally processed,occasional_consumption,stir_fried,moderate_portion
Kesar Milk,Beverage,120,15,5,5,0,30,4.5,25,20,200,100,150,0.2,0.5,0,10,Vegetarian,Minimally Processed,occasional_consumption,boiled,moderate_portion
Kokum Juice,Beverage,30,7,0.1,0.5,0.5,20,1.4,15,10,80,5,10,0.3,0,15,5,Vegan,minimally processed,ideal_diabetic_food,blended,regular_portion
Beetroot Halwa,Beverage,180,30,7,3,4,45,13.5,30,30,250,20,40,1.2,0,5,50,Vegetarian,Processed,occasional_consumption,stir_fried,small_portion
Carrot Halwa,Dessert,250,35,10,4,3,50,17.5,35,25,200,30,80,1,0,3,30,Vegetarian,minimally processed,occasional_consumption,stir_fried,small_portion
Sattu Drink,Beverage,80,12,2,8,3,30,3.6,25,50,200,50,40,3,0,0,20,Vegan,minimally processed,ideal_diabetic_food,blended,moderate_portion
Rajgira Paratha,Breakfast,180,30,5,6,4,35,10.5,30,120,250,50,150,3,0,0,25,Vegan,minimally processed,ideal_diabetic_food,roasted,moderate_portion
Ragi Malt,Breakfast,120,25,1,3,5,40,10,25,50,200,10,150,3.5,0,0,20,Vegan,Minimally Processed,ideal_diabetic_food,boiled,moderate_portion
Banana Shake,Breakfast,90,20,0.5,1.5,2,30,6,20,15,150,10,10,0.3,0,8,15,Vegan,Minimally Processed,occasional_consumption,blended,small_portion
Protein Shake,Breakfast,80,5,2,10,1,20,1,30,30,150,50,100,0.5,0.5,0,10,Vegan,Processed,ideal_diabetic_food,blended,moderate_portion
Papaya Bowl,Snack,60,15,0.3,0.7,2,10,1.5,15,20,200,10,30,0.3,0,60,40,Vegan,Unprocessed,ideal_diabetic_food,raw,regular_portion
Khakhra,Snack,350,60,5,10,8,40,24,35,50,200,300,50,2,0,0,30,Vegetarian,Processed,suitable_for_controlled_diabetes,roasted,moderate_portion
Singhada Roti,Breakfast,180,35,2,5,3,40,14,30,30,150,50,20,1.5,0,0,25,Vegan,minimally processed,ideal_diabetic_food,raw,moderate_portion
Multigrain Bread,Breakfast,250,40,3,10,6,45,18,40,50,200,300,100,2,0,0,30,Vegan,Processed,suitable_for_controlled_diabetes,baked,moderate_portion
Jackfruit Curry,Dinner,120,15,5,3,4,30,4.5,25,30,250,200,50,1.5,0,10,30,Vegan,minimally processed,ideal_diabetic_food,boiled,moderate_portion
Mushroom Masala,Dinner,80,5,3,8,2,15,0.8,20,15,300,200,10,1.5,0.5,2,20,Vegan,Minimally Processed,ideal_diabetic_food,stir_fried,regular_portion
Tandoori Chicken,Dinner,180,2,8,25,0,0,0,50,25,300,400,20,1.5,0.2,0,10,Non-Vegetarian,minimally processed,suitable_for_controlled_diabetes,grilled,moderate_portion
